time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,currency
1617635400,49996.66,49971.11,49979.65,4.071,203492.71,49996.32,direct,,EUR
1617635460,49998.74,49977.03,49996.32,6.739,336859.13,49994.03,direct,,EUR
1617635520,50017.69,49987.85,49994.03,6.399,319977.01,50014.7,direct,,EUR
1617635580,50015.66,49931.73,50014.7,30.66,1530281.98,49978.88,direct,,EUR
1617635640,49994.55,49969.68,49978.88,1.4100000000000001,70488.6,49994.55,direct,,EUR
1617635700,50052.6,49994.37,49994.55,12.4,620301.43,50049.89,direct,,EUR
1617635760,50052.92,50030.19,50049.89,7.208,360760.06,50030.19,direct,,EUR
1617635820,50044.51,50020.84,50030.19,13.19,660328.55,50044.31,direct,,EUR
1617635880,50112.78,50044.31,50044.31,10.31,516475.69,50111.61,direct,,EUR
1617635940,50111.63,50041.14,50111.61,6.187,309747.55,50043.9,direct,,EUR
1617636000,50048.3,50025.17,50043.9,5.622,281376.03,50027.25,direct,,EUR
1617636060,50027.25,49954.53,50027.25,9.465,473335.12,49958.43,direct,,EUR
1617636120,49958.82,49915.43,49958.43,6.624,330781.27,49932.42,direct,,EUR
1617636180,49977.15,49917.15,49932.42,4.789,239324.98,49955.76,direct,,EUR
1617636240,49962.77,49916.22,49955.76,7.391,369092.79,49919.97,direct,,EUR
1617636300,49960.08,49914.62,49919.97,3.842,191905.69,49956.49,direct,,EUR
1617636360,49984.91,49953.08,49956.49,7.535,376535.28,49983.48,direct,,EUR
1617636420,49988.61,49967.1,49983.48,9.585,479186.94,49967.1,direct,,EUR
1617636480,49995.01,49964.97,49967.1,4.02,200989.21,49979.77,direct,,EUR
1617636540,49986.64,49926.69,49979.77,3.7359999999999998,186603.9,49933.54,direct,,EUR
1617636600,49996.92,49933.54,49933.54,10.68,533698.87,49990.22,direct,,EUR
1617636660,50009.42,49989.38,49990.22,3.226,161282.2,49998.05,direct,,EUR
1617636720,50027.56,49998.05,49998.05,4.114,205823.01,50025.03,direct,,EUR
1617636780,50028.31,50018.35,50025.03,3.618,180969.64,50027.2,direct,,EUR
1617636840,50066.02,50027.2,50027.2,11.42,571566.79,50065.03,direct,,EUR
1617636900,50065.12,49995.84,50065.03,4.236,211925.76,49995.84,direct,,EUR
1617636960,50013.65,49985.95,49995.84,5.374,268740.28,50005.62,direct,,EUR
1617637020,50012.69,49992.83,50005.62,7.833,391644.37,49996.39,direct,,EUR
1617637080,49996.58,49926.1,49996.39,21.66,1081266.2,49926.1,direct,,EUR
1617637140,49969.2,49912.4,49926.1,2.502,124990.73,49963.75,direct,,EUR
1617637200,49966.49,49946.67,49963.75,5.058,252639.25,49946.7,direct,,EUR
1617637260,49950.1,49907.89,49946.7,5.551,277207.08,49924.49,direct,,EUR
1617637320,49950.62,49924.49,49924.49,3.604,180013.48,49929.21,direct,,EUR
1617637380,49946.35,49929.19,49929.21,10.29,513852.78,49940.99,direct,,EUR
1617637440,49953.67,49934.7,49940.99,4.327,216099.97,49936.74,direct,,EUR
1617637500,49936.74,49906.22,49936.74,3.511,175250.62,49906.22,direct,,EUR
1617637560,49913.88,49895.09,49906.22,6.831,340901.69,49909.28,direct,,EUR
1617637620,49909.28,49874.72,49909.28,8.219,409845.36,49877.16,direct,,EUR
1617637680,49930.51,49877.16,49877.16,5.802,289560.26,49924.3,direct,,EUR
1617637740,49929.24,49900.92,49924.3,3.952,197257.82,49905.81,direct,,EUR
1617637800,49949.75,49905.02,49905.81,5.962,297731.23,49944.52,direct,,EUR
1617637860,49944.53,49913.84,49944.52,3.954,197375.65,49918.69,direct,,EUR
1617637920,49930.53,49918.69,49918.69,2.378,118736.26,49926.94,direct,,EUR
1617637980,49941.18,49916.73,49926.94,7.796,389213.84,49939.44,direct,,EUR
1617638040,49941.38,49916.89,49939.44,8.931000000000001,445810.22,49916.95,direct,,EUR
1617638100,49954.57,49901.33,49916.95,3.351,167350.81,49954.06,direct,,EUR
1617638160,49954.63,49943.48,49954.06,3.92,195811.28,49944.7,direct,,EUR
1617638220,49953.12,49937.6,49944.7,9.873,493173.89,49952.49,direct,,EUR
1617638280,49966.59,49946.46,49952.49,2.907,145229.7,49949.12,direct,,EUR
1617638340,49957.39,49928.69,49949.12,11.9,594267.01,49955.94,direct,,EUR
1617638400,50046.21,49953.55,49955.94,28.53,1427354.94,50011.5,direct,,EUR
1617638460,50120.19,50007.83,50011.5,14.03,703078.87,50116.18,direct,,EUR
1617638520,50116.18,50079.33,50116.18,22.03,1103548.66,50103.09,direct,,EUR
1617638580,50105.46,50075.26,50103.09,4.47,223868.87,50079.57,direct,,EUR
1617638640,50083.13,50016.1,50079.57,3.711,185732.37,50016.1,direct,,EUR
1617638700,50028.6,49938.97,50016.1,14.65,732421.1,49938.97,direct,,EUR
1617638760,49938.97,49886.51,49938.97,9.847,491350.72,49927.89,direct,,EUR
1617638820,49954.91,49917.56,49927.89,5.408,270065.44,49947.32,direct,,EUR
1617638880,49979.1,49947.32,49947.32,4.515,225616.8,49955.03,direct,,EUR
1617638940,49999.21,49955.03,49955.03,3.34,167039.09,49996.86,direct,,EUR
1617639000,50002.53,49987.94,49996.86,3.842,192146.76,50000.6,direct,,EUR
1617639060,50002.84,49977.68,50000.6,2.371,118555.55,49979.4,direct,,EUR
1617639120,49994.13,49966.56,49979.4,3.717,185789.7,49993.62,direct,,EUR
1617639180,49998.16,49986.08,49993.62,1.6360000000000001,81816.47,49994.48,direct,,EUR
1617639240,49994.48,49947.92,49994.48,3.242,162003.37,49955.44,direct,,EUR
1617639300,49983.43,49954.76,49955.44,3.065,153209.15,49979.85,direct,,EUR
1617639360,49979.85,49922.61,49979.85,3.618,180758.14,49925.92,direct,,EUR
1617639420,49931.46,49920.62,49925.92,2.667,133170.28,49925.03,direct,,EUR
1617639480,49925.03,49909.46,49925.03,4.104,204815.6,49917.03,direct,,EUR
1617639540,49917.24,49852.24,49917.03,8.306,414270.82,49852.27,direct,,EUR
1617639600,49925.79,49849.92,49852.27,3.909,195153.76,49918.38,direct,,EUR
1617639660,49939.37,49914.14,49918.38,1.009,50400.27,49932.89,direct,,EUR
1617639720,49939.67,49925.37,49932.89,6.765,337857.67,49939.67,direct,,EUR
1617639780,49944.14,49928.86,49939.67,2.157,107725.75,49942.29,direct,,EUR
1617639840,49976.63,49940.37,49942.29,5.272,263431.6,49976.63,direct,,EUR
1617639900,49998.35,49974.52,49976.63,5.354,267699.48,49983.5,direct,,EUR
1617639960,50015.94,49978.18,49979.59,369.71,18477433.6,49978.18,invert_divide,ETH,EUR
1617640020,49995.03,49978.83,49979.37,3.029,151408.57,49989.56,direct,,EUR
1617640080,50011.07,49984.9,49989.56,7.789,389493.82,49993.54,direct,,EUR
1617640140,50010.1,49980.09,49993.54,6.319,315907.2,49980.57,direct,,EUR
1617640200,50012.61,49969.21,49980.57,15.48,773922.04,49980.32,direct,,EUR
1617640260,49995.63,49979.15,49980.32,6.928,346297.94,49986.39,direct,,EUR
1617640320,50007.43,49979.11,49986.39,4.181,209126.14,50002.12,direct,,EUR
1617640380,50019.23,49996.69,50002.12,10.28,514276.32,50015.63,direct,,EUR
1617640440,50032.96,50015.63,50015.63,9.153,457952.69,50032.96,direct,,EUR
1617640500,50037.25,50014.01,50032.96,5.773,288852.96,50015.19,direct,,EUR
1617640560,50033.78,49996.68,50015.19,6.626,331321.03,50020.36,direct,,EUR
1617640620,50027.1,49988.68,50020.36,10.32,516313.72,49988.68,direct,,EUR
1617640680,49995.0,49969.4,49988.68,9.157,457619.19,49975.49,direct,,EUR
1617640740,49987.8,49972.95,49975.49,6.247,312277.45,49987.71,direct,,EUR
1617640800,49992.72,49966.99,49987.71,5.717,285835.32,49991.36,direct,,EUR
1617640860,49999.8,49979.29,49991.36,8.608,430384.51,49980.79,direct,,EUR
1617640920,49980.83,49947.42,49980.79,5.755,286832.47,49949.05,direct,,EUR
1617640980,49975.98,49946.59,49949.05,3.997,199780.9,49961.59,direct,,EUR
1617641040,49964.02,49938.58,49961.59,7.952,396940.47,49938.94,direct,,EUR
1617641100,49954.91,49922.01,49938.94,4.917,245551.21,49922.39,direct,,EUR
1617641160,49923.8,49894.22,49922.39,12.66,631568.38,49898.44,direct,,EUR
1617641220,49914.47,49892.16,49898.44,14.23,710412.25,49902.49,direct,,EUR
1617641280,49902.49,49872.93,49902.49,7.044,351224.34,49883.21,direct,,EUR
1617641340,49899.95,49883.21,49883.21,9.496,473644.34,49891.3,direct,,EUR
1617641400,49900.66,49858.69,49891.3,6.857,341918.25,49860.88,direct,,EUR
1617641460,49865.07,49830.81,49860.88,15.41,767569.12,49835.19,direct,,EUR
1617641520,49873.72,49835.19,49835.19,1.759,87727.98,49873.72,direct,,EUR
1617641580,49873.72,49857.96,49873.72,9.962,496672.81,49862.61,direct,,EUR
1617641640,49862.61,49816.56,49862.61,10.62,528815.83,49832.47,direct,,EUR
1617641700,49835.4,49816.5,49832.47,9.791,487845.09,49825.06,direct,,EUR
1617641760,49878.86,49824.14,49825.06,5.871,292830.02,49878.83,direct,,EUR
1617641820,49885.06,49867.86,49878.83,17.95,895365.28,49875.63,direct,,EUR
1617641880,49898.01,49875.0,49875.63,10.91,544269.97,49882.74,direct,,EUR
1617641940,49892.62,49872.35,49882.74,5.297,264166.11,49879.03,direct,,EUR
1617642000,49943.4,49877.67,49879.03,5.498,274534.38,49942.69,direct,,EUR
1617642060,49950.54,49905.36,49942.69,5.953,297088.33,49916.64,direct,,EUR
1617642120,49922.76,49903.39,49916.64,7.58,378382.48,49915.01,direct,,EUR
1617642180,49915.05,49860.59,49915.01,7.486,373485.4,49860.59,direct,,EUR
1617642240,49872.07,49843.78,49860.59,10.42,519263.83,49864.87,direct,,EUR
1617642300,49877.13,49862.79,49864.87,2.52,125718.0,49863.53,direct,,EUR
