time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,currency
1617612480,48721.36,48688.12,48696.93,2.054,100088.15,48721.36,direct,,EUR
1617612540,48738.93,48720.26,48721.36,2.926,142629.42,48738.93,direct,,EUR
1617612600,48741.1,48722.75,48738.93,3.3609999999999998,163792.87,48739.0,direct,,EUR
1617612660,48777.03,48736.28,48739.0,7.209,351602.02,48761.38,direct,,EUR
1617612720,48761.38,48717.67,48761.38,8.975999999999999,437503.98,48727.39,direct,,EUR
1617612780,48756.02,48726.69,48727.39,6.644,323818.82,48752.67,direct,,EUR
1617612840,48759.63,48731.37,48752.67,4.948,241278.32,48736.08,direct,,EUR
1617612900,48745.27,48728.23,48736.08,4.71,229649.74,48745.27,direct,,EUR
1617612960,48767.69,48745.27,48745.27,2.313,112726.14,48749.1,direct,,EUR
1617613020,48755.31,48738.93,48749.1,4.14,201874.96,48748.36,direct,,EUR
1617613080,48750.62,48725.8,48748.36,2.298,111946.38,48726.33,direct,,EUR
1617613140,48744.14,48721.58,48726.33,2.593,126411.03,48741.53,direct,,EUR
1617613200,48741.53,48696.48,48741.53,5.286,257494.29,48696.48,direct,,EUR
1617613260,48696.48,48665.56,48696.48,7.409,360848.93,48669.23,direct,,EUR
1617613320,48693.44,48668.86,48669.23,3.077,149916.01,48677.91,direct,,EUR
1617613380,48677.91,48626.64,48677.91,3.112,151369.72,48629.99,direct,,EUR
1617613440,48671.09,48629.99,48629.99,3.429,166825.02,48648.79,direct,,EUR
1617613500,48687.99,48640.44,48648.79,4.302,209377.88,48687.99,direct,,EUR
1617613560,48735.97,48685.92,48687.99,1.915,93332.64,48735.97,direct,,EUR
1617613620,48771.88,48714.55,48735.97,7.118,346851.91,48771.88,direct,,EUR
1617613680,48816.49,48771.88,48771.88,4.467,218124.05,48808.47,direct,,EUR
1617613740,48820.16,48799.24,48808.47,3.337,162986.54,48811.34,direct,,EUR
1617613800,48875.81,48796.22,48814.77,446.32,21785782.42,48812.02,invert_divide,ETH,EUR
1617613860,48804.81,48785.18,48795.42,3.271,159628.08,48803.66,direct,,EUR
1617613920,48803.66,48789.41,48803.66,1.941,94780.56,48794.74,direct,,EUR
1617613980,48799.32,48782.89,48794.74,4.661,227388.13,48784.9,direct,,EUR
1617614040,48806.07,48784.43,48784.9,1.604,78290.22,48806.07,direct,,EUR
1617614100,48815.77,48801.42,48806.07,1.923,93954.79,48803.82,direct,,EUR
1617614160,48804.69,48794.77,48803.82,3.273,159727.14,48797.93,direct,,EUR
1617614220,48797.93,48783.44,48797.93,4.622,225472.66,48792.8,direct,,EUR
1617614280,48822.52,48792.8,48792.8,6.678,325879.46,48821.21,direct,,EUR
1617614340,48822.02,48814.9,48821.21,1.565,76390.83,48819.63,direct,,EUR
1617614400,48819.63,48803.23,48819.63,2.2560000000000002,110193.07,48817.33,direct,,EUR
1617614460,48838.26,48813.47,48817.33,9.228,450541.09,48833.55,direct,,EUR
1617614520,48833.55,48815.65,48833.55,4.131,201772.95,48826.95,direct,,EUR
1617614580,48858.44,48825.75,48826.95,8.368,408395.35,48858.44,direct,,EUR
1617614640,48916.59,48850.72,48858.44,10.59,518117.23,48916.59,direct,,EUR
1617614700,48928.73,48882.8,48916.59,4.568,223516.25,48923.13,direct,,EUR
1617614760,49009.26,48922.89,48923.13,59.67,2923698.01,49004.97,direct,,EUR
1617614820,49009.56,48990.72,49004.97,13.3,652136.06,49008.79,direct,,EUR
1617614880,49009.45,48975.54,49008.79,6.618,324215.49,48981.57,direct,,EUR
1617614940,48995.44,48981.57,48981.57,1.62,79387.44,48993.51,direct,,EUR
1617615000,48993.54,48958.9,48993.51,4.974,243510.08,48961.81,direct,,EUR
1617615060,48969.49,48959.97,48961.81,1.674,81955.15,48969.49,direct,,EUR
1617615120,48970.25,48964.77,48969.49,1.349,66066.06,48965.01,direct,,EUR
1617615180,48966.03,48950.52,48965.01,1.593,77959.59,48956.12,direct,,EUR
1617615240,48962.45,48945.65,48956.12,10.41,509262.33,48945.81,direct,,EUR
1617615300,48970.01,48943.36,48945.81,4.802,235100.16,48960.28,direct,,EUR
1617615360,48966.89,48951.07,48960.28,2.934,143712.44,48962.25,direct,,EUR
1617615420,48962.27,48941.53,48962.25,3.291,161147.94,48941.53,direct,,EUR
1617615480,48979.54,48941.53,48941.53,6.382,312357.14,48948.03,direct,,EUR
1617615540,48979.7,48948.13,48986.18,134.91,6607851.48,48979.7,invert_divide,ETH,EUR
1617615600,48977.32,48951.7,48953.21,3.7119999999999997,181766.97,48973.41,direct,,EUR
1617615660,48973.98,48937.98,48973.41,5.255,257269.69,48951.88,direct,,EUR
1617615720,48971.31,48951.65,48951.88,2.516,123195.0,48966.08,direct,,EUR
1617615780,48981.04,48964.54,48966.08,1.776,86999.49,48974.18,direct,,EUR
1617615840,48974.18,48959.87,48974.18,1.6139999999999999,79069.12,48959.87,direct,,EUR
1617615900,48982.54,48945.35,48967.61,98.39,4819169.92,48980.28,invert_divide,ETH,EUR
1617615960,48983.95,48956.99,48961.14,9.123,446830.25,48976.21,direct,,EUR
