BTC,currency,time
49092.78,EUR,2021-04-05 13:35:12
ETH,currency,time
2047.51,USD,2021-04-05 13:35:17
BTC,currency,time
49245.56,EUR,2021-04-05 00:00:00
BTC,currency,time
49212.18,EUR,2021-04-05 14:02:12
